,Unnamed: 0,X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon,Block
149,149,-78.48429107698891,38.078056335643616,3065,150,14575,Four Seasons Drive at Woodlake Drive (southbound),38.07805634,-78.48429108,510030107002000
150,150,-78.47332763593877,38.091743468983054,3066,151,14612,Berkmar Drive at Loupe Terrace,38.09174347,-78.47332764,510030108001001
151,151,-78.5029983517282,38.06792831342046,3067,152,14654,Georgetown Rd at Biltmore Dr,38.06792831,-78.50299835,510030108001024
152,152,-78.4875640864895,38.082550049182494,3068,153,14677,Four Seasons Drive at Tennis Drive (southbound),38.08255005,-78.48756409,510030107002000
153,153,-78.48368072428566,38.00754928520278,3069,154,14926,PVCC Main Building,38.00754929,-78.48368073,510030113032006
154,154,-78.47341156012313,38.08129882827275,3070,155,14935,Rio Rd at Albemarle Square,38.08129883,-78.47341156,510030106012028
155,155,-78.48323822020932,38.055820464375095,3071,156,15049,Grove Road at Meadowbrook Heights (eastbound),38.05582047,-78.48323822,515400008003009
156,156,-78.43996429541437,38.02164077818194,3072,157,15054,Veterans Administration at Peter Jefferson Parkway,38.02164078,-78.43996429,510030105003012
157,157,-78.47238159258109,38.08668899611745,3073,158,15110,Rio Hill Shopping Center at Subway,38.086689,-78.47238159,510030108001005
158,158,-78.50802612408661,38.06175613422778,3074,159,15152,Georgetown Road at Hessian Hills Ridge (SB),38.06175613,-78.50802612,510030108004001
159,159,-78.49301910330506,38.043849944307254,3075,160,15217,Preston Avenue at Cabell Avenue (southbound),38.04384995,-78.4930191,515400002013006
160,160,-78.49282836945619,38.04357910238142,3076,161,15219,Preston Avenue at Cabell Avenue (northbound),38.0435791,-78.49282837,515400002011005
161,161,-78.50634002684737,38.009788513070156,3077,162,15246,5th Street Ext at Moores Creek (northbound),38.00978851,-78.50634003,510030113022001
162,162,-78.50489807229555,38.010841369264895,3078,163,15255,5th Street Ext at Moores Creek (southbound),38.01084137,-78.50489807,515400005025002
163,163,-78.47308349590277,38.02302932735426,3079,164,15261,Bainbridge St at Monticello Rd,38.02302933,-78.4730835,515400004021010
164,164,-78.50958252050647,38.02172851509633,3080,165,15264,Cherry Avenue at Highland Avenue,38.02172852,-78.50958252,515400005022007
165,165,-78.50678253199702,38.02377700792085,3081,166,15272,Cherry Avenue at Shamrock Road (westbound),38.02377701,-78.50678253,515400005022007
166,166,-78.47016143761371,38.02271652230245,3082,167,15737,Carlton Ave at Carlton Rd,38.02271652,-78.47016144,515400004021011
167,167,-78.4748229984166,38.02420806806789,3083,168,15759,Hinton Ave at Meridian St,38.02420807,-78.474823,515400004022005
168,168,-78.5021057136812,38.0124549863336,3084,169,15785,5th Street at Harris Road northbound,38.01245499,-78.50210571,515400004012014
169,169,-78.4944381715362,38.02067947382717,3085,170,15792,5th Street SW at Bailey Road (northbound),38.02067947,-78.49443817,515400004012010
170,170,-78.48842620761971,38.02602386405847,3086,171,15802,Ridge St at Elliott Ave,38.02602386,-78.48842621,515400004011012
171,171,-78.48632049607636,38.028072357616246,3087,172,15818,Ridge Street at Dice Street (northbound),38.02807236,-78.48632049999998,515400004011013
172,172,-78.51935577451381,38.00540924004337,3088,173,15841,5th Street Ext at County Office Building,38.00540924,-78.51935577,510030113022006
173,173,-78.4771194467791,38.01833724974278,3089,174,15860,1001 Altavista Ave,38.01833725,-78.47711945,515400004022029
174,174,-78.48027038481048,38.01978683507893,3090,175,15873,Altavista Ave at Rialto St,38.01978683,-78.48027039,515400004022033
175,175,-78.48168945313381,38.01837158257136,3091,176,15887,Belmont Park,38.01837158,-78.48168945,515400004024002
176,176,-78.4910049436563,38.027378081496494,3092,177,15894,Cherry Avenue at 6th Street SW westbound,38.02737808,-78.49100494,515400005011009
177,177,-78.49385833741773,38.02870178159844,3093,178,15904,Cherry Avenue at Independence Resource Center,38.02870178,-78.49385834,515400005011007
178,178,-78.48240661639962,38.019741058588636,3094,179,15927,Druid Ave at Avon St,38.01974106,-78.48240662,515400004024000
179,179,-78.49337005568357,38.035251617071374,3095,180,15970,10th Street NW at Page Street Southbound,38.03525162,-78.49337006,515400002021007
180,180,-78.47041320730348,38.077716826828535,3096,181,16009,Rio Rd East at Putt Putt Ln,38.07771683,-78.47041321,510030106012012
181,181,-78.48330688560438,38.026821136009886,3097,182,16013,Crescent Halls,38.02682114,-78.48330688,515400004011006
182,182,-78.47027587979174,38.07391738949472,3098,183,16021,Hillsdale Drive at Walden Court,38.07391739,-78.47027588,510030106013008
183,183,-78.50613403222762,38.04101562550272,3099,184,16362,Emmet Street North at Rothery Road,38.04101563,-78.50613403,515400007004014
184,184,-78.50528717070006,38.04329681446059,3100,185,16370,Emmet Street North at Lambeth (northbound),38.04329681,-78.50528717,515400007002023
185,185,-78.5055770882571,38.043304443663175,3101,186,16389,Emmet St at Massie Rd Southbound,38.04330444,-78.50557709,515400007003019
186,186,-78.49636077802366,38.0558013921835,3102,187,16391,Emmet at Morton Dr,38.05580139,-78.49636078,515400007002006
187,187,-78.49008178744172,38.06150436466487,3103,188,16406,Kmart,38.06150436,-78.49008179,515400008004001
188,188,-78.48726653959993,38.06375122143047,3104,189,16423,Zan Road at Line Drive,38.06375122,-78.48726654,515400008004002
189,189,-78.48593902637766,38.06803894048953,3105,190,16447,Post Office on US29,38.06803894,-78.48593903,515400008004001
190,190,-78.48443603615212,38.0697097770221,3106,191,16452,Seminole Trail at Greenbrier Drive (northbound),38.06970978,-78.48443604,510030106013016
191,191,-78.4723510731407,38.031650542707695,3107,192,16475,East High Street at Locust Avenue,38.03165054,-78.47235107,515400010003011
192,192,-78.47267913770126,38.03141403231207,3108,193,16512,East High Street at 9 1/2 Street NE,38.03141403,-78.47267914,515400003021028
193,193,-78.4923553456601,38.06147766091368,3109,194,16520,Emmet Street North at Hydraulic Rd,38.06147766,-78.49235535,515400008004010
194,194,-78.4910736075397,38.05996704176325,3110,195,16531,Kroger at Hydraulic Road,38.05996704,-78.49107361,515400008004024
195,195,-78.49416351405222,38.058494568463374,3111,196,16554,Emmet Street North at Angus Road (northbound),38.05849457,-78.49416351,515400008004026
196,196,-78.48155212435087,38.069393158137714,3112,197,16577,Greenbrier Drive at Westfield Road (westbound),38.06939316,-78.48155212,510030106013015
197,197,-78.47344207786797,38.074634552774185,3113,198,16583,Mall Drive at Hillsdale Dr southbound,38.07463455,-78.47344208,510030106013001
198,198,-78.47393798846599,38.07727432246215,3114,199,16596,Fashion Square Mall,38.07727432,-78.47393799,510030106013001
199,199,-78.47657012839593,38.07407760538191,3115,200,16614,Hillsdale Drive at JABA southbound,38.07407761,-78.47657013,510030106013001
200,200,-78.47960662764676,38.072082519802365,3116,201,16646,Hillsdale Drive at Branchlands Boulevard (SB),38.07208252,-78.47960663,510030106013015
201,201,-78.4794540412791,38.07201385524661,3117,202,16651,Hillsdale Drive at Branchlands Boulevard (NB),38.07201386,-78.47945404,510030106013009
202,202,-78.48058319086962,38.068683624084976,3118,203,16667,Greenbrier Drive at Hillsdale Drive (eastbound),38.06868362,-78.48058319,510030106013009
203,203,-78.5010604858774,38.05268096925661,3119,204,16680,CVS at Barracks Road Shopping Center,38.05268097,-78.50106049,515400007003009
204,204,-78.50841522180326,38.03517150858968,3120,205,16819,Emmet St & Ruffner Hall,38.03517151,-78.50841522,510030109031000
205,205,-78.50070953345954,38.03226470996843,3121,206,17028,JPA at Pinn Hall,38.03226471,-78.50070953,515400006001003
206,206,-78.46567535335987,38.03858566271745,3122,207,17092,Locust Ave & Watson Ave Southbound,38.03858566,-78.46567535,515400009001012
207,207,-78.50723266509662,38.03841018680106,3123,208,17102,Emmet St at Sprigg Ln,38.03841019,-78.50723267,515400007004012
208,208,-78.47312927199356,38.074825286526064,3124,209,17118,Mall Dr at Royal Ct,38.07482529,-78.47312927,510030106013007
209,209,-78.47023773215187,38.07404327475549,3125,210,17125,Hillsdale Dr at Exeter Ct,38.07404327,-78.47023773,510030106013007
